"","x"
"1",3.20098532589259e-27
"2",6.89707908501049e-24
"3",8.43246036845232e-21
"4",5.77943879464514e-18
"5",2.20614022197502e-15
"6",4.6880246682954e-13
"7",5.58242744966697e-11
"8",3.78460304570574e-09
"9",1.49978876717803e-07
"10",3.60283322773601e-06
"11",5.47900355324409e-05
"12",0.000551598209068447
"13",0.0038313677345773
"14",0.0190235500541346
"15",0.0695447550845243
"16",0.192044710211583
"17",0.410143055456517
"18",0.692771394186629
"19",0.945385900515797
"20",1.06306385144083
"21",1.00279770822871
"22",0.806453128881915
"23",0.561096349085733
"24",0.342357591810696
"25",0.185515203525237
"26",0.090321768790676
"27",0.0399325753403934
"28",0.0161865957867396
"29",0.00606837637420638
"30",0.00212125770962241
"31",0.000696694610511353
"32",0.000216547196372262
"33",6.41199273276359e-05
"34",1.8190935732132e-05
"35",4.96794012745218e-06
"36",1.31117460307775e-06
"37",3.35682988660864e-07
"38",8.37222391371781e-08
"39",2.04530708987344e-08
"40",4.92675929544064e-09
"41",1.17896406543423e-09
"42",2.82486433835073e-10
"43",6.83042861037445e-11
"44",1.67934991385639e-11
"45",4.22897345390473e-12
"46",1.09833422720206e-12
"47",2.96125346582163e-13
"48",8.33892785045421e-14
"49",2.46658271859171e-14
"50",7.70346347380727e-15
"51",2.55226738266603e-15
"52",9.00841420325247e-16
"53",3.3999352155234e-16
"54",1.37656727642408e-16
"55",5.99544729172691e-17
"56",2.81532191392345e-17
"57",1.42790384807617e-17
"58",7.8328479042479e-18
"59",4.65142550560834e-18
"60",2.99166048715269e-18
"61",2.08420125695641e-18
"62",1.5723368855154e-18
"63",1.28367029830168e-18
"64",1.13303267721004e-18
"65",1.0798350984925e-18
"66",1.10948041817022e-18
"67",1.22669490026381e-18
"68",1.4565060588565e-18
"69",1.85292403261722e-18
"70",2.51941579036118e-18
"71",3.65167874000392e-18
"72",5.62632697054636e-18
"73",9.18821156441717e-18
"74",1.58561597745174e-17
"75",2.88253959794738e-17
"76",5.50277627857815e-17
"77",1.09954805534649e-16
"78",2.29220480912343e-16
"79",4.9690328223216e-16
"80",1.11645084027018e-15
"81",2.5913748802267e-15
"82",6.19336137631744e-15
"83",1.51923465939449e-14
"84",3.81277359580465e-14
"85",9.75918003784446e-14
"86",2.53984411691957e-13
"87",6.70066310585472e-13
"88",1.78679392731904e-12
"89",4.80222223250116e-12
"90",1.29725351341234e-11
"91",3.51290701278821e-11
"92",9.51161983098525e-11
"93",2.56873393912997e-10
"94",6.90297843805173e-10
"95",1.84174171930117e-09
"96",4.8681578234332e-09
"97",1.27221498866966e-08
"98",3.28080273755274e-08
"99",8.33364455597481e-08
"100",2.08153698974909e-07
"101",5.10427374229918e-07
"102",1.22698055289809e-06
"103",2.88731945922595e-06
"104",6.6427909733177e-06
"105",1.49243315430579e-05
"106",3.27085733714058e-05
"107",6.98598238326822e-05
"108",0.000145281767314719
"109",0.000293948823559509
"110",0.000578239847510231
"111",0.00110524070088172
"112",0.00205159701195111
"113",0.00369677398668927
"114",0.00646387415383858
"115",0.0109642348097516
"116",0.018037937959201
"117",0.0287777107945894
"118",0.0445197416673557
"119",0.0667835460986028
"120",0.0971462285186527
"121",0.137045760919047
"122",0.187523213503813
"123",0.24893299929164
"124",0.320668632898827
"125",0.400963332986603
"126",0.486824424733206
"127",0.574144802636619
"128",0.65800477630583
"129",0.733139212661917
"130",0.794507275225213
"131",0.83787537225674
"132",0.860315932424998
"133",0.860538144683327
"134",0.838998693927225
"135",0.797782702811214
"136",0.740287074528084
"137",0.670770534551014
"138",0.593850648865948
"139",0.514026460639297
"140",0.435289117177707
"141",0.360857881523844
"142",0.29305203980257
"143",0.233286219341173
"144",0.182161124725626
"145",0.139614774965172
"146",0.105099987101256
"147",0.0777598303343237
"148",0.0565814151287068
"149",0.0405173424588176
"150",0.0285717865057011
"151",0.0198536910622339
"152",0.0136027830144863
"153",0.00919536401807375
"154",0.0061366758608303
"155",0.00404562082690364
"156",0.00263624305639649
"157",0.00169898767148188
"158",0.00108355560573444
"159",0.000684250843077491
"160",0.000428079774248331
"161",0.000265470535601521
"162",0.000163275879341247
"163",9.96479500574478e-05
"164",6.03776895556192e-05
"165",3.6338088034147e-05
"166",2.17337794161251e-05
"167",1.29241081444033e-05
"168",7.64463888681893e-06
"169",4.49984643571333e-06
"170",2.63700122241951e-06
"171",1.53913535304148e-06
"172",8.95103806050538e-07
"173",5.18884527298184e-07
"174",2.99939572334327e-07
"175",1.72950558840841e-07
"176",9.9515152730462e-08
"177",5.71589054602182e-08
"178",3.2783024333695e-08
"179",1.87811492567321e-08
"180",1.0750673400438e-08
"181",6.15058792301638e-09
"182",3.51792855687197e-09
"183",2.0121656425452e-09
"184",1.15122102477445e-09
"185",6.58990309531365e-10
"186",3.77508692506066e-10
"187",2.16471181906965e-10
"188",1.2427719108621e-10
"189",7.14479040309873e-11
"190",4.11413378866908e-11
"191",2.37322015438513e-11
"192",1.3716522275188e-11
"193",7.94452545142057e-12
"194",4.61187467707955e-12
"195",2.68371496181912e-12
"196",1.56568589635527e-12
"197",9.15880076264065e-13
"198",5.37268176396234e-13
"199",3.16090562442192e-13
"200",1.86528795569515e-13
"201",1.10417266922154e-13
"202",6.55729205921667e-14
"203",3.90701552980634e-14
"204",2.33578327729435e-14
"205",1.40125650811733e-14
"206",8.4358450452048e-15
"207",5.09672177664381e-15
"208",3.09049204980978e-15
"209",1.88087203376742e-15
"210",1.14895751569796e-15
"211",7.04494680887156e-16
"212",4.33604959176611e-16
"213",2.6789536144474e-16
"214",1.66149955625769e-16
"215",1.03444421619359e-16
"216",6.46534371205519e-17
"217",4.05656069468224e-17
"218",2.5551040634547e-17
"219",1.61563883971085e-17
"220",1.02556771616257e-17
"221",6.53531582526718e-18
"222",4.18068477274012e-18
"223",2.6847383057872e-18
"224",1.73070885682162e-18
"225",1.11996955657641e-18
"226",7.27511812193637e-19
"227",4.74368580594965e-19
"228",3.10472546109091e-19
"229",2.03962501367541e-19
"230",1.34488392762316e-19
"231",8.90047687146206e-20
"232",5.91182528714383e-20
"233",3.94089473164849e-20
"234",2.63643690631039e-20
"235",1.76999870210306e-20
"236",1.19246220517474e-20
"237",8.06148265180807e-21
"238",5.46846995022032e-21
"239",3.72202105780745e-21
"240",2.54176232292054e-21
"241",1.7414650822247e-21
"242",1.19701211220111e-21
"243",8.25403160658167e-22
"244",5.70948672413491e-22
"245",3.96160002123572e-22
"246",2.75718434496288e-22
"247",1.92469260134998e-22
"248",1.34752216014244e-22
"249",9.46167045353054e-23
"250",6.66247094871051e-23
"251",4.70453352892365e-23
"252",3.33111444603724e-23
"253",2.36500586135395e-23
"254",1.68353614916368e-23
"255",1.20153952795175e-23
"256",8.59719712206861e-24
"257",6.16675538534869e-24
"258",4.43420122378672e-24
"259",3.19602939576845e-24
"260",2.30898293512876e-24
"261",1.67194978633853e-24
"262",1.21337856299602e-24
"263",8.82506891015732e-25
"264",6.43230767660977e-25
"265",4.69808381078229e-25
"266",3.4384158941646e-25
"267",2.52149626071657e-25
"268",1.85267504384205e-25
"269",1.36382940016216e-25
"270",1.00581880633928e-25
"271",7.43117622945249e-26
"272",5.49987538044327e-26
"273",4.07741739574599e-26
"274",3.02784939529913e-26
"275",2.252060631816e-26
"276",1.67765529747671e-26
"277",1.25164903313585e-26
"278",9.35190596178039e-27
"279",6.99739159169418e-27
"280",5.24290133378092e-27
"281",3.93357868497955e-27
"282",2.9550583822683e-27
"283",2.22273657489345e-27
"284",1.67392309205759e-27
"285",1.26209102095723e-27
"286",9.52655443969894e-28
"287",7.19869198609874e-28
"288",5.44536112112408e-28
"289",4.12323575943361e-28
"290",3.12515312704713e-28
"291",2.37088009654194e-28
"292",1.80026638786237e-28
"293",1.36815979381082e-28
"294",1.04062427898192e-28
"295",7.92122980047638e-29
"296",6.03416917895042e-29
"297",4.59995392416533e-29
"298",3.50901935252691e-29
"299",2.67854973009867e-29
"300",2.04588374402422e-29
"301",1.56356278808993e-29
